"company_name","canonical_company_name","public_company_name"
"Ursa Major Natural Care LLC","Ursa Major","Tractor Supply Co"
"Ursa Major","Ursa Major","Tractor Supply Co"
"Ursa Major Natural Care","Ursa Major","Tractor Supply Co"
"Village Global Fruit","Village Global Fruit","PPL Corporation"
"Village Global Fruit Inc","Village Global Fruit","PPL Corporation"
"Violet Grey, Inc.","Violet Grey","Ameren Corporation"
"Violet Grey","Violet Grey","Ameren Corporation"
"Violette FR","Violette FR","Delta Air Lines, Inc."
"Vitamin A Enterprises, Inc.","Vitamin A","Occidental Petroleum Corporation"
"Vitamin A","Vitamin A","Occidental Petroleum Corporation"
"W.M. GOLF INC.","W.M. GOLF","GoDaddy Inc"
"W.M. GOLF","W.M. GOLF","GoDaddy Inc"
"WIN Brands","WIN Brands","The Kraft Heinz Company"
"Win Brands Group","WIN Brands","The Kraft Heinz Company"
"Win Brands Group LLC","WIN Brands","The Kraft Heinz Company"
"Wardrobe","Wardrobe.NYC","Iron Mountain Inc."
"Wardrobe LLC","Wardrobe.NYC","Iron Mountain Inc."
"Wardrobe NYC","Wardrobe.NYC","Iron Mountain Inc."
"Wardrobe.NYC","Wardrobe.NYC","Iron Mountain Inc."
"Warroad","Warroad","Brown & Brown, Inc."
"Wild Rye","Wild Rye","SBA Communications Corp"
"_financial_screener__Wild Wonder","Wild Wonder","Eli Lilly & Co."
"Wild Wonder","Wild Wonder","Eli Lilly & Co."
"Wildbird","Wildbird","Atmos Energy Corporation"
"Wildfang Co","Wildfang Co","State Street Corporation"
"wildwonder","Wildwonder","IQVIA Holdings Inc."
"Wildwonder Brands Inc.","Wildwonder","IQVIA Holdings Inc."
"Wild Wonder","Wildwonder","IQVIA Holdings Inc."
"Yerbae","Yerbae","Lennar Corporation Class A"
"Yerbaé","Yerbae","Lennar Corporation Class A"
"You Can Beam","You Can Beam","CenterPoint Energy, Inc."
"Zico","Zico",""
"janji","janji","58248"
"wardrobe","wardrobe","25925"
