"company_name","canonical_company_name","public_company_name"
"The Citizenry, Inc.","Citizenry","Texas Instruments Incorporated"
"Clean Cause","Clean Cause","TJX Companies, Inc."
"Clive Coffee","Clive Coffee","Morgan Stanley"
"Coconut Cult","Coconut Cult","Pfizer Inc."
"Contenders","Contenders","NextEra Energy, Inc."
"Copy of Ettitude","Copy of Ettitude","Boeing Company"
"Coyuchi","Coyuchi","Honeywell International, Inc."
"Cubby Beds","Cubby Beds","BlackRock, Inc."
"D's Naturals","D's Naturals","Gilead Sciences Inc"
"D's Naturals, LLC","D's Naturals","Gilead Sciences Inc"
"D's Natural's (No Cow)","D's Naturals","Gilead Sciences Inc"
"DD Karma LLC","DD Karma Dermaflash","Citigroup Inc."
"DD Karma Dermaflash","DD Karma Dermaflash","Citigroup Inc."
"DD Karma (Dermaflash)","DD Karma Dermaflash","Citigroup Inc."
"DD Karma","DD Karma Dermaflash","Citigroup Inc."
"DERMAFLASH","DD Karma Dermaflash","Citigroup Inc."
"DEPRECATED Seaweed Bath","DEPRECATED Seaweed Bath","Stryker Corporation"
"Seaweed Bath","DEPRECATED Seaweed Bath","Stryker Corporation"
"The Seaweed Bath Company","DEPRECATED Seaweed Bath","Stryker Corporation"
"The Seaweed Bath Co.","DEPRECATED Seaweed Bath","Stryker Corporation"
"The Seaweed Bath Co","DEPRECATED Seaweed Bath","Stryker Corporation"
"Seaweed Bath Luminary Brands","DEPRECATED Seaweed Bath Luminary Brands","Danaher Corporation"
"DEPRECATED Seaweed Bath Luminary Brands","DEPRECATED Seaweed Bath Luminary Brands","Danaher Corporation"
"Daddies Board Shop","Daddies Board Shop","Vertex Pharmaceuticals Inc"
"Daddies Board Shop, LLC","Daddies Board Shop","Vertex Pharmaceuticals Inc"
"Dame","Dame","Union Pacific Corp."
"Dart Displays","Dart Displays","Comcast Corp"
"Dessy Group","Dessy Group","Lowe's Companies Inc."
"dirty_labs","Dirty Labs","Palo Alto Networks, Inc."
"Dirty Labs Inc.","Dirty Labs","Palo Alto Networks, Inc."
"Dirty Labs","Dirty Labs","Palo Alto Networks, Inc."
"Doen","Doen","Applied Materials Inc"
"Don't Run Out","Don't Run Out","Automatic Data Processing"
"Don't Run Out, Inc (d/b/a Public Goods)","Don't Run Out","Automatic Data Processing"
"Drink Biolyte","Drink Biolyte","T-Mobile US, Inc."
"Dumpling Daughter","Dumpling Daughter","Deere & Company"
"Dyper","Dyper","Eaton Corporation, PLC"
"Eat the Change","Eat the Change","Marsh & McLennan Companies, Inc."
"Ellis Brooklyn","Ellis Brooklyn","Medtronic Plc"
"Ettitude Holdings Inc","Ettitude","Chubb Limited"
"Ettitude Holdings, Inc.","Ettitude","Chubb Limited"
"Ettitude Holdings","Ettitude","Chubb Limited"
"Ettitude","Ettitude","Chubb Limited"
"evelyn__bobbie","Evelyn & Bobbie","Crowdstrike Holdings, Inc. Class A"
"Evelyn & Bobbie, LLC","Evelyn & Bobbie","Crowdstrike Holdings, Inc. Class A"
"Evelyn & Bobbie","Evelyn & Bobbie","Crowdstrike Holdings, Inc. Class A"
"Felix Gray","Felix Gray","American Tower Corporation"
"Felix Gray Inc.","Felix Gray","American Tower Corporation"
"Fellow Products","Fellow Products","Fiserv, Inc."
"feno_labs","Feno Labs","GE Vernova Inc."
"Feno Labs- IFM","Feno Labs","GE Vernova Inc."
"Feno Labs","Feno Labs","GE Vernova Inc."
"Figue","Figue","Bristol-Myers Squibb Co."
"__financial_screener__Fishwife","Fishwife","Meta Platforms, Inc. Class A"
"Fishwife","Fishwife","Meta Platforms, Inc. Class A"
"Flag & Anthem","Flag & Anthem","The Southern Company"
"Flag and Anthem","Flag and Anthem","Altria Group, Inc."
"Flying Embers","Flying Embers","Lockheed Martin Corp."
"Follow Your Legend","Follow Your Legend","CME Group Inc."
"Gym & Fitness Inc.","Force USA","Elevance Health, Inc."
"Force USA","Force USA","Elevance Health, Inc."
"Frame It All","Frame It All","Analog Devices, Inc."
"Fresh Clean Threads","Fresh Clean Threads","Intercontinental Exchange Inc."
"Fruigees","Fruigees","Blackstone Inc."
"Fuego Shoes","Fuego Shoes","Duke Energy Corporation"
"__financial_screener__Full Glass Wine","Full Glass Wine","Berkshire Hathaway Class B"
"Full Glass Wine","Full Glass Wine","Berkshire Hathaway Class B"
"GL Concepts (New)","GL Concepts","Welltower Inc."
"GL Concepts LLC","GL Concepts","Welltower Inc."
"GL Concepts","GL Concepts","Welltower Inc."
"GOAT Foods","GOAT Foods","McKesson Corporation"
"Gainful","Gainful","Prologis, Inc."
"Gathre","Gathre","KLA Corporation"
" __financial_screener__Genius Gourmet","Genius Gourmet","Apple Inc."
"Genius Gourmet","Genius Gourmet","Apple Inc."
"__financial_screener__Genius Gourmet","Genius Gourmet","Apple Inc."
"Ghia","Ghia","Amphenol Corporation"
"Gift Services, LLC","Gift Services","The Cigna Group"
"Gift Services, Inc.","Gift Services","The Cigna Group"
"Gift Services","Gift Services","The Cigna Group"
"Glamnetic","Glamnetic","Lam Research Corp"
"Global Sales Group","Global Sales Group","Starbucks Corp"
"GoPure Beauty","GoPure Beauty","Micron Technology, Inc."
"Natural Lifestyle Brands","GoPure Beauty","Micron Technology, Inc."
"Golde Wellness","Golde Wellness","Mondelez International, Inc. Class A"
"Golde Wellness, Inc.","Golde Wellness","Mondelez International, Inc. Class A"
"Good Sam","Good Sam","Intel Corp"
"Goodles","Goodles","Trane Technologies Plc"
"__financial_screener__Gorilla Mind","Gorilla Mind","Alphabet Inc. Class A"
"Gorilla Mind","Gorilla Mind","Alphabet Inc. Class A"
"Grand Voyage LLC","Grand Voyage","Waste Management, Inc."
"Grand Voyage","Grand Voyage","Waste Management, Inc."
"Graza","Graza","Arista Networks"
"Great Frontier","Great Frontier","CVS Health Corporation"
"Guardian Bikes","Guardian Bikes","Equinix, Inc. REIT"
"Guardian Bike Company","Guardian Bikes","Equinix, Inc. REIT"
